case_id,field,metric,value,detail
c32_奧利奧捲心酥-巧克力口味,nutrition.sugar,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,nutrition.sodium,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.calories,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.protein,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.fat,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.saturated_fat,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.trans_fat,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.carbohydrates,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.sugar,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,per_serving.sodium,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,serving_size,within_tol,1,
c32_奧利奧捲心酥-巧克力口味,servings_per_container,within_tol,1,
c33_手摘果物-無籽梅肉,is_food_label,correct,1,
c33_手摘果物-無籽梅肉,name,exact,0,sim=0.50
c33_手摘果物-無籽梅肉,brand,exact,0,sim=0.00
c33_手摘果物-無籽梅肉,manufacturer,exact,0,sim=0.78
c33_手摘果物-無籽梅肉,allergy_warning,exact,0,sim=0.49
c33_手摘果物-無籽梅肉,ingredients_list,f1,0.667,tp=6 fp=5 fn=1
c33_手摘果物-無籽梅肉,ingredients_flat,f1,0.917,tp=11 fp=1 fn=1
c33_手摘果物-無籽梅肉,ingredients_raw,char_sim,0.842,
c33_手摘果物-無籽梅肉,nutrition.calories,within_tol,1,
c33_手摘果物-無籽梅肉,nutrition.protein,within_tol,1,
c33_手摘果物-無籽梅肉,nutrition.fat,within_tol,1,
c33_手摘果物-無籽梅肉,nutrition.saturated_fat,within_tol,1,
c33_手摘果物-無籽梅肉,nutrition.trans_fat,within_tol,1,
c33_手摘果物-無籽梅肉,nutrition.carbohydrates,within_tol,1,
c33_手摘果物-無籽梅肉,nutrition.sugar,within_tol,0,
c33_手摘果物-無籽梅肉,nutrition.sodium,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.calories,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.protein,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.fat,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.saturated_fat,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.trans_fat,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.carbohydrates,within_tol,1,
c33_手摘果物-無籽梅肉,per_serving.sugar,within_tol,0,
c33_手摘果物-無籽梅肉,per_serving.sodium,within_tol,0,
c33_手摘果物-無籽梅肉,serving_size,within_tol,1,
c33_手摘果物-無籽梅肉,servings_per_container,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,is_food_label,correct,1,
c34_日式佛蒙特咖哩雞肉飯,name,exact,1,sim=1.00
c34_日式佛蒙特咖哩雞肉飯,brand,exact,0,sim=0.07
c34_日式佛蒙特咖哩雞肉飯,manufacturer,exact,0,sim=0.11
c34_日式佛蒙特咖哩雞肉飯,allergy_warning,exact,0,sim=0.90
c34_日式佛蒙特咖哩雞肉飯,ingredients_list,f1,0.815,tp=11 fp=2 fn=3
c34_日式佛蒙特咖哩雞肉飯,ingredients_flat,f1,0.375,tp=9 fp=26 fn=4
c34_日式佛蒙特咖哩雞肉飯,ingredients_raw,char_sim,0.4,
c34_日式佛蒙特咖哩雞肉飯,nutrition.calories,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,nutrition.protein,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,nutrition.fat,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,nutrition.saturated_fat,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,nutrition.trans_fat,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,nutrition.carbohydrates,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,nutrition.sugar,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,nutrition.sodium,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,per_serving.calories,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,per_serving.protein,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,per_serving.fat,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,per_serving.saturated_fat,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,per_serving.trans_fat,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,per_serving.carbohydrates,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,per_serving.sugar,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,per_serving.sodium,within_tol,0,
c34_日式佛蒙特咖哩雞肉飯,serving_size,within_tol,1,
c34_日式佛蒙特咖哩雞肉飯,servings_per_container,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,is_food_label,correct,1,
c35_極饕-真飽經典麻醬涼麵,name,exact,1,sim=1.00
c35_極饕-真飽經典麻醬涼麵,manufacturer,exact,0,sim=0.14
c35_極饕-真飽經典麻醬涼麵,allergy_warning,exact,1,sim=1.00
c35_極饕-真飽經典麻醬涼麵,ingredients_list,f1,0.111,tp=1 fp=8 fn=8
c35_極饕-真飽經典麻醬涼麵,ingredients_flat,f1,0.3,tp=18 fp=46 fn=38
c35_極饕-真飽經典麻醬涼麵,ingredients_raw,char_sim,0.291,
c35_極饕-真飽經典麻醬涼麵,nutrition.calories,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,nutrition.protein,within_tol,0,
c35_極饕-真飽經典麻醬涼麵,nutrition.fat,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,nutrition.saturated_fat,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,nutrition.trans_fat,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,nutrition.carbohydrates,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,nutrition.sugar,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,nutrition.sodium,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.calories,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.protein,within_tol,0,
c35_極饕-真飽經典麻醬涼麵,per_serving.fat,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.saturated_fat,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.trans_fat,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.carbohydrates,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.sugar,within_tol,1,
c35_極饕-真飽經典麻醬涼麵,per_serving.sodium,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,is_food_label,correct,1,
c36_滿漢大餐酸菜白肉拌麵,name,exact,1,sim=1.00
c36_滿漢大餐酸菜白肉拌麵,brand,exact,1,sim=1.00
c36_滿漢大餐酸菜白肉拌麵,manufacturer,exact,0,sim=0.20
c36_滿漢大餐酸菜白肉拌麵,allergy_warning,exact,0,sim=0.68
c36_滿漢大餐酸菜白肉拌麵,ingredients_list,f1,0.233,tp=7 fp=37 fn=9
c36_滿漢大餐酸菜白肉拌麵,ingredients_flat,f1,0.192,tp=5 fp=34 fn=8
c36_滿漢大餐酸菜白肉拌麵,ingredients_raw,char_sim,0.327,
c36_滿漢大餐酸菜白肉拌麵,nutrition.calories,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,nutrition.protein,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,nutrition.fat,within_tol,0,
c36_滿漢大餐酸菜白肉拌麵,nutrition.saturated_fat,within_tol,0,
c36_滿漢大餐酸菜白肉拌麵,nutrition.trans_fat,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,nutrition.carbohydrates,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,nutrition.sugar,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,nutrition.sodium,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,per_serving.calories,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,per_serving.protein,within_tol,1,
c36_滿漢大餐酸菜白肉拌麵,per_serving.fat,within_tol,0,
c36_滿漢大餐酸菜白肉拌麵,per_serving.saturated_fat,within_tol,0,
